"country","denominations__001","denominations__002","denominations__003","denominations__004","denominations__005","~"
"USA","4","6","10","20","50",""
"Canada","4","6","10","20","",""
"Puerto Rico","4","6","10","","",""
"U.S. Virgin Islands","4","6","10","20","",""
"Costa Rica","4","10","","","",""
"Australia","3","6","10","24","",""
"Guam","4","10","20","40","",""
"Japan","5","10","15","","",""
"Netherlands","6","9","20","","",""
"Panama","4","6","10","","",""
"Germany","4","6","9","20","",""
"France","4","6","9","20","",""
"El Salvador","4","6","10","","",""
"Sweden","4","6","9","20","",""
"Guatemala","4","6","10","","",""
"Curacao","4","6","10","","",""
"United Kingdom","4","6","9.2","","",""
"Hong Kong","6","9","","","",""
"Bahamas","4","6","10","20","",""
"New Zealand","3","6","10","","",""
"Switzerland","4","6","9","20","",""
"Ireland","4","6","9","20","",""
"Austria","4","6","9","20","",""
"Belgium","4","6","9","20","",""
"Brazil","4","6","10","","",""
"Singapore","6","9","20","","",""
"Spain","4","6","10","20","",""
"Denmark","4","6","9","20","",""
"Philippines","4","6","","","",""
"Malaysia","4","6","9","20","",""
"Norway","4","6","9","18","",""
"Taiwan","4","6","10","20","",""
"Andorra","4","6","10","20","",""
"Finland","4","6","9","20","",""
"Thailand","6","10","20","","",""
"Aruba","4","6","10","20","",""
"Luxembourg","4","6","9.2","","",""
"Venezuela","4","10","","","",""
"Italy","4","6","","","",""
"Mexico","4","10","20","","",""
"Cuba","4","6","10","20","50",""
"Turkey","4","6","","","",""
"Argentina","4","10","","","",""
"Macau","6","9","","","",""
"Serbia","4","6","","","",""
"South Korea","4","6","10","20","",""
"Hungary","4","6","9","20","",""
"Russia","6","","","","",""
"China","4","5","","","",""
"Chile","4","10","","","","note: under “sides and potatoes”"
"Indonesia","4","6","9","","",""
"Portugal","4","6","10","20","",""
"Greece","6","9","20","","",""
"Uruguay","10","20","","","",""
"Martinique","4","6","9","","",""
"Czech Republic","4","6","9","20","",""
"Guadeloupe","4","6","9","","",""
"Poland","4","6","9","20","",""
"Monaco","4","6","9","20","",""
"Brunei","4","6","9","","",""
"Morocco","4","6","9","","",""
"Northern Marianas","4","6","10","20","50",""
"Israel","4","5","9","12","24",""
"Slovenia","4","6","9","20","",""
"Saudi Arabia","4","6","9","","",""
"Kuwait","4","6","9","","",""
"New Caledonia","6","10","20","","",""
"Oman","4","6","9","","",""
"Egypt","4","6","9","","",""
"Bulgaria","4","6","","","",""
"Bahrain","4","6","9","","",""
"Latvia","4","6","9","20","",""
"United Arab Emirates","4","6","9","","",""
"Estonia","4","6","9","20","",""
"Romania","4","6","9","","",""
"Malta","4","6","9","20","",""
"Colombia","4","6","9","20","",""
"Slovakia","4","6","9","20","",""
"South Africa","4","6","10","","",""
"Qatar","4","6","9","","",""
"Honduras","4","6","9","20","",""
"Sint Maarten","4","6","10","","",""
"Croatia","4","6","9","20","",""
"Samoa","4","6","9","20","",""
"Fiji","4","6","10","","",""
"Liechtenstein","4","6","9","20","",""
"Lithuania","4","6","9","20","",""
"India","4","6","9","20","",""
"Peru","4","6","10","","",""
"Jordan","6","9","","","",""
"Paraguay","5","10","","","",""
